Normalized_signaling_variable	P_X_input	P_ZG_graded_output	P_ZB_switch_like_output
4.6811702926e-01	7.2302333903e-16	9.3797851714e-04	7.3419096702e-11
4.6961740435e-01	7.9532249722e-16	9.4551124054e-04	7.8685432532e-11
4.7111777944e-01	8.7374960040e-16	9.5309312468e-04	8.4278645849e-11
4.7261815454e-01	9.5867435597e-16	9.6072438370e-04	9.0213373564e-11
4.7411852963e-01	1.0507787937e-15	9.6841776429e-04	9.6603610303e-11
4.7561890473e-01	1.1541710636e-15	9.7617380773e-04	1.0349090646e-10
4.7711927982e-01	1.2661851987e-15	9.8398030863e-04	1.1080299393e-10
4.7861965491e-01	1.3873328804e-15	9.9183748589e-04	1.1855877006e-10
4.8012003001e-01	1.5185691008e-15	9.9975842060e-04	1.2690609233e-10
4.8162040510e-01	1.6656256622e-15	1.0077436661e-03	1.3589855996e-10
4.8312078020e-01	1.8247493804e-15	1.0157806947e-03	1.4544213882e-10
4.8462115529e-01	1.9966448390e-15	1.0238697301e-03	1.5556118490e-10
4.8612153038e-01	2.1826425195e-15	1.0320241953e-03	1.6644715629e-10
4.8762190548e-01	2.3906987094e-15	1.0402446557e-03	1.7816907622e-10
4.8912228057e-01	2.6155577252e-15	1.0485182543e-03	1.9060479443e-10
4.9062265566e-01	2.8581849760e-15	1.0568452197e-03	2.0378564835e-10
4.9212303076e-01	3.1204249828e-15	1.0652393240e-03	2.1795913806e-10
4.9362340585e-01	3.4132667502e-15	1.0737011454e-03	2.3321399646e-10
4.9512378095e-01	3.7293887633e-15	1.0822174898e-03	2.4939181706e-10
4.9662415604e-01	4.0701074236e-15	1.0907885909e-03	2.6653285059e-10
4.9812453113e-01	4.4379676605e-15	1.0994285779e-03	2.8495650644e-10
4.9962490623e-01	4.8480733038e-15	1.1081380414e-03	3.0477665892e-10
5.0112528132e-01	5.2902765734e-15	1.1169034433e-03	3.2578822930e-10
5.0262565641e-01	5.7663640126e-15	1.1257250222e-03	3.4804282776e-10
5.0412603151e-01	6.2798305228e-15	1.1346172721e-03	3.7195197369e-10
5.0562640660e-01	6.8513368994e-15	1.1435807965e-03	3.9766155457e-10
5.0712678170e-01	7.4668874810e-15	1.1526017053e-03	4.2490651475e-10
5.0862715679e-01	8.1288957030e-15	1.1616802426e-03	4.5375291560e-10
5.1012753188e-01	8.8421391569e-15	1.1708312747e-03	4.8473005826e-10
5.1162790698e-01	9.6347489469e-15	1.1800554183e-03	5.1802452079e-10
5.1312828207e-01	1.0487515400e-14	1.1893384238e-03	5.5329430650e-10
5.1462865716e-01	1.1403684166e-14	1.1986805406e-03	5.9062382848e-10
